,passenger_count,year,month,weekday,hour,abs_longi,abs_lat,distance,Amount
0,1,2015,1,1,13,0.00811004000000537,0.01996994000000285,2.3232594824488952,13.530572994238824
1,1,2015,1,1,13,0.012023929999998018,0.01981735000000384,2.425352901548718,13.530572994238824
2,1,2011,10,5,11,0.0028699999999872716,0.00512099999999549,0.6186278709678759,13.530572994238824
3,1,2012,12,5,21,0.009287999999997965,0.01617199999999741,1.9610325158768025,13.530572994238824
4,1,2012,12,5,21,0.02251900000001683,0.04534799999999706,5.387301253820665,13.530572994238824
5,1,2012,12,5,21,0.01819400000000826,0.0254939999999948,3.2225488777954903,13.530572994238824
6,1,2011,10,3,12,0.010609000000002311,0.0023109999999988418,0.9296013092824311,13.530572994238824
7,1,2011,10,3,12,0.20780099999998924,0.11273200000000116,21.540101663971065,13.530572994238824
8,1,2011,10,3,12,0.01899299999999471,0.03172700000000361,3.8739616954557885,13.530572994238824
9,1,2014,2,1,15,0.011104000000003111,0.005206000000001154,1.099793909874918,13.530572994238824
10,1,2014,2,1,15,0.009926000000007207,0.01943899999999843,2.317685162256492,13.530572994238824
11,1,2014,2,1,15,0.04522699999999702,0.026544000000001233,4.819178700295348,13.530572994238824
12,1,2010,3,0,20,0.005968000000009965,0.0046679999999952315,0.7226697051118751,13.530572994238824
13,1,2010,3,0,20,0.01983300000000554,0.00117800000000301,1.6755031359719827,13.530572994238824
14,1,2011,10,3,3,0.009058000000010225,0.021447999999999467,2.5040323426212816,13.530572994238824
15,1,2011,10,3,3,0.03240499999999713,0.03891000000000844,5.11537516667905,13.530572994238824
16,1,2012,7,6,16,0.003458000000009065,0.0005969999999990705,0.29883804012718873,13.530572994238824
17,1,2012,7,6,16,0.02422599999999875,0.013476999999994632,2.531147462068013,13.530572994238824
18,1,2012,7,6,16,0.001452000000000453,0.00693199999999905,0.7804444670385156,13.530572994238824
19,1,2012,7,6,16,0.005035999999989826,0.0004619999999988522,0.42728196334462265,13.530572994238824
20,1,2014,10,2,2,0.015670000000014284,0.0089230000000029,1.6519455034420933,13.530572994238824
21,1,2014,6,5,13,0.02142300000001285,0.0070979999999991605,1.9692105476524073,13.530572994238824
22,1,2014,6,5,13,0.003664999999998031,0.01140699999999839,1.305441254484128,13.530572994238824
23,1,2014,6,5,13,0.012005000000002042,0.014479999999998938,1.9012945033649662,13.530572994238824
24,1,2014,6,5,13,0.025312999999997032,0.048309999999993636,5.779720338025231,13.530572994238824
25,1,2014,6,5,13,0.011368000000004486,0.005254999999998233,1.1216865935049163,13.530572994238824
26,1,2014,6,5,13,0.1288629999999955,0.08377699999999777,14.30653963063099,13.530572994238824
27,1,2014,6,5,13,0.05382999999999072,0.07434299999999894,9.42787009633753,13.530572994238824
28,1,2014,6,5,13,0.003743000000000052,0.009895000000007315,1.1445286411121314,13.530572994238824
29,1,2014,6,5,13,0.03438299999999117,0.03323999999999927,4.696370725567247,13.530572994238824
30,1,2014,6,5,13,0.006219999999999004,0.025654999999993322,2.9003759364916903,13.530572994238824
31,1,2014,6,5,13,0.0055299999999931515,0.009770000000003165,1.1820810573466303,13.530572994238824
32,1,2014,6,5,13,0.0007869999999883248,0.009609999999995011,1.0706365886264495,13.530572994238824
33,1,2014,6,5,13,0.0062130000000024665,0.025415000000002408,2.8740284418158453,13.530572994238824
34,1,2014,6,5,13,0.008205000000003793,0.01738499999999732,2.052893902947039,13.530572994238824
35,1,2014,6,5,13,0.011739999999988981,0.010890000000003397,1.563540165006326,13.530572994238824
36,1,2014,6,5,13,0.002310000000022683,0.010144999999994297,1.1447352829549635,13.530572994238824
37,1,2014,6,5,13,0.010611999999994737,0.0038849999999968077,0.9929954484269455,13.530572994238824
38,1,2014,6,5,13,0.018610000000009563,0.0003279999999961092,1.5682222215043835,13.530572994238824
39,1,2014,6,5,13,0.002364999999997508,0.0061900000000036925,0.7165179849412125,13.530572994238824
40,1,2014,6,5,13,0.04066000000000258,0.05555999999999983,7.06329087231629,13.530572994238824
